Product;Application-Areas;SubDomain;Domain;Company
Dehypon® LT 104; Food and Beverage Processing;I&I;Home care and I&I;BASF
Dehypon® LT 104 L; Food and Beverage Processing;I&I;Home care and I&I;BASF
Dehypound® GL; Food and Beverage Processing;I&I;Home care and I&I;BASF
Dehyton® PK 45 LA; Food and Beverage Processing;I&I;Home care and I&I;BASF
Demelan® AU-39/Bio; Food and Beverage Processing;I&I;Home care and I&I;BASF
Disponil® LDBS 55; Food and Beverage Processing;I&I;Home care and I&I;BASF
Emulan® TO 4070; Food and Beverage Processing;I&I;Home care and I&I;BASF
Glucopon® 425 N/HH; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lavergy® Pro 104 L; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lavergy® Pro 104 LS; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutensol® CS 6250; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutensol® TO 7; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutensol® XL 79; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutensol® XL 89; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutensol® XP 69; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutensol® XP 89; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutensol® XP 99; Food and Beverage Processing;I&I;Home care and I&I;BASF
Luvipur® FM 75; Food and Beverage Processing;I&I;Home care and I&I;BASF
Luvipur® FM 85; Food and Beverage Processing;I&I;Home care and I&I;BASF
Luvipur® FM 99; Food and Beverage Processing;I&I;Home care and I&I;BASF
Plurafac® LF 120; Food and Beverage Processing;I&I;Home care and I&I;BASF
Plurafac® LF 221; Food and Beverage Processing;I&I;Home care and I&I;BASF
Plurafac® LF 223Dishwashing; Food and Beverage Processing;I&I;Home care and I&I;BASF
Plurafac® LF 224; Food and Beverage Processing;I&I;Home care and I&I;BASF
Plurafac® LF 231; Food and Beverage Processing;I&I;Home care and I&I;BASF
Plurafac® LF 305; Food and Beverage Processing;I&I;Home care and I&I;BASF
Plurafac® LF 901; Food and Beverage Processing;I&I;Home care and I&I;BASF
Protectol® FM 75; Food and Beverage Processing;I&I;Home care and I&I;BASF
Protectol® FM 85; Food and Beverage Processing;I&I;Home care and I&I;BASF
Protectol® FM 99; Food and Beverage Processing;I&I;Home care and I&I;BASF
Protectol® GL; Food and Beverage Processing;I&I;Home care and I&I;BASF
Protectol® GL non BPR; Food and Beverage Processing;I&I;Home care and I&I;BASF
Protectol® NP S; Food and Beverage Processing;I&I;Home care and I&I;BASF
Sokalan® CP 10; Food and Beverage Processing;I&I;Home care and I&I;BASF
Sokalan® PA 25 CL PN; Food and Beverage Processing;I&I;Home care and I&I;BASF
Dehypon® KE 3447; Food and Beverage Processing;I&I;Home care and I&I;BASF
Dehypon® LS 54; Food and Beverage Processing;I&I;Home care and I&I;BASF
Dehypon® LS 54/MB; Food and Beverage Processing;I&I;Home care and I&I;BASF
Dehyton® PK 45; Food and Beverage Processing;I&I;Home care and I&I;BASF
Dehyton® PL; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutensol® TO 8; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutensol® XL 140; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutensol® XL 60; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutensol® XP 40; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutensol® XP 60; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutensol® XP 70; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutropur® MSA; Food and Beverage Processing;I&I;Home care and I&I;BASF
Plurafac® LF 303; Food and Beverage Processing;I&I;Home care and I&I;BASF
Plurafac® LF 400; Food and Beverage Processing;I&I;Home care and I&I;BASF
Plurafac® LF 403; Food and Beverage Processing;I&I;Home care and I&I;BASF
Plurafac® LF 900; Food and Beverage Processing;I&I;Home care and I&I;BASF
Sokalan® CP 10 S; Food and Beverage Processing;I&I;Home care and I&I;BASF
Sulfopon® 101 UP; Food and Beverage Processing;I&I;Home care and I&I;BASF
Texapon® EHS; Food and Beverage Processing;I&I;Home care and I&I;BASF
Texapon® LS 30; Food and Beverage Processing;I&I;Home care and I&I;BASF
Tinogard® HS; Food and Beverage Processing;I&I;Home care and I&I;BASF
Tinogard® TL; Food and Beverage Processing;I&I;Home care and I&I;BASF
Tinogard® TT; Food and Beverage Processing;I&I;Home care and I&I;BASF
Trilon® M Granules SG; Food and Beverage Processing;I&I;Home care and I&I;BASF
Trilon® M Liquid; Food and Beverage Processing;I&I;Home care and I&I;BASF
Trilon® M Max BioBased L; Food and Beverage Processing;I&I;Home care and I&I;BASF
Cibafast® HA Liquid; Food and Beverage Processing;I&I;Home care and I&I;BASF
Glucopon® 215 UP; Food and Beverage Processing;I&I;Home care and I&I;BASF
Glucopon® 50 G; Food and Beverage Processing;I&I;Home care and I&I;BASF
Glucopon® 600 CSUP; Food and Beverage Processing;I&I;Home care and I&I;BASF
Glucopon® 650 EC; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutensol® XL 100; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutensol® XL 40; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutensol® XL 50; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutensol® XL 70; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutensol® XL 80; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutensol® XL 90; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutensol® XP 100; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutensol® XP 30; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutensol® XP 50; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutensol® XP 80; Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutensol® XP 90; Food and Beverage Processing;I&I;Home care and I&I;BASF
Sokalan® PA 25 CL Granules; Food and Beverage Processing;I&I;Home care and I&I;BASF
Sokalan® PA 30 CL; Food and Beverage Processing;I&I;Home care and I&I;BASF
Texapon® 842 UP; Food and Beverage Processing;I&I;Home care and I&I;BASF
